"County","State","county_state","avg_processed_per_year","total_processed_all_years","percent_denied","total_denied","avg_num_paid","total_num_paid","percent_unpaid","Black","Latino","Native American","White","percent_nonwhite","minority_binned"
"Santa Cruz","Arizona","Santa Cruz, Arizona","55","165","6","10","55","165","0","0.8","82.5","1.3","15.9","84.1","100"
"Smith","Texas","Smith, Texas","147.33","884","21","185","106","636","28","17.9","18.3","0.8","61.3","38.7","50"
"St. Charles","Louisiana","St. Charles, Louisiana","51.33","154","10","16","38.33","115","25","26.4","5.7","0.4","65.8","34.2","50"
"Starr","Texas","Starr, Texas","50.17","301","27","80","33.17","199","34","0.4","95.7","0.3","3.9","96.1","100"
"Tarrant","Texas","Tarrant, Texas","2069.33","12416","22","2751","1469.17","8815","29","15.9","27.6","0.9","50.1","49.9","50"
"Taylor","Texas","Taylor, Texas","111.5","669","27","180","74.17","445","33","7.8","23.1","1","65.8","34.2","50"
"Titus","Texas","Titus, Texas","35.17","211","17","36","22.67","136","36","10.3","40.9","2.4","47.5","52.5","75"
"Tom Green","Texas","Tom Green, Texas","152.33","914","23","211","109.67","658","28","4.7","37.3","1.1","55.9","44.1","50"
"Travis","Texas","Travis, Texas","1743.5","10461","21","2244","1270.67","7624","27","8.9","33.8","1.4","50","50","50"
"Upshur","Texas","Upshur, Texas","61","366","19","69","38","228","38","8.7","7.4","1","81.1","18.9","25"
"Uvalde","Texas","Uvalde, Texas","27.33","164","26","42","16.83","101","38","1.2","69.9","1","28.2","71.8","75"
"Val Verde","Texas","Val Verde, Texas","23.17","139","24","34","14.33","86","38","1.8","80.2","0.8","17.2","82.8","100"
"Van Zandt","Texas","Van Zandt, Texas","43.17","259","20","52","29.83","179","31","3","10","1","84.7","15.3","25"
"Victoria","Texas","Victoria, Texas","82.33","494","27","131","58","348","30","6.8","44.9","0.8","46.7","53.3","75"
"Walker","Texas","Walker, Texas","49.67","298","18","55","37.17","223","25","22.8","17.5","0.8","57.7","42.3","50"
"Waller","Texas","Waller, Texas","41.83","251","24","61","26.5","159","37","25.8","29.5","1.5","43.6","56.4","75"
"Webb","Texas","Webb, Texas","185.83","1115","34","382","106.33","638","43","0.7","95.3","0.6","3.7","96.3","100"
"Wharton","Texas","Wharton, Texas","33.5","201","19","39","25","150","25","14.4","39","0.7","46.2","53.8","75"
"Wichita","Texas","Wichita, Texas","100.33","602","31","185","64.5","387","36","10.7","17.9","1.3","67.2","32.8","50"
"Williamson","Texas","Williamson, Texas","269.33","1616","16","264","212.5","1275","21","6.7","23.8","0.9","62.3","37.7","50"
"Wilson","Texas","Wilson, Texas","24.17","145","19","27","16","96","34","1.8","38.8","0.9","58","42","50"
"Wise","Texas","Wise, Texas","39.67","238","14","33","30.17","181","24","1.5","18.2","1","78.3","21.7","25"
"Wood","Texas","Wood, Texas","57.33","344","17","59","44","264","23","4.9","9.3","1","83.7","16.3","25"
"Yavapai","Arizona","Yavapai, Arizona","58.33","175","4","7","45","135","23","0.8","14","2.1","81.3","18.7","25"
"Yuma","Arizona","Yuma, Arizona","77","231","7","16","66","198","14","2.7","61.1","2.2","33.5","66.5","75"
